序号,分类,小流域/区域名称,数据类型,是否可用,时空分辨率 / 备注,文件名或链接,数据来源,备注
1,小流域,北京潮河,DEM,有,-,,,
2,小流域,北京潮河,土地利用,有,-,,,
3,小流域,北京潮河,土壤类型,有,-,,,
4,小流域,北京潮河,流域边界,有,-,,,
5,小流域,北京潮河,水系（河湖水库）矢量文件,有,-,,,
6,小流域,北京潮河,县镇行政区边界矢量文件,有,-,,,
7,小流域,北京潮河,流量,有,十四年月数据,,,
8,小流域,北京潮河,径流泥沙含量,无,-,,,
9,小流域,北京潮河,水库调度（如有）,无,-,,,
10,小流域,北京潮河,总氮,有,四年月数据,,,
11,小流域,北京潮河,总磷,有,四年月数据,,,
12,小流域,北京潮河,氨氮,有,四年月数据,,,
13,小流域,北京潮河,COD,有,四年月数据,,,
14,小流域,北京潮河,降水量,有,五年,,,
15,小流域,北京潮河,小型蒸发,无,-,,,
16,小流域,北京潮河,大型蒸发,无,-,,,
17,小流域,北京潮河,最低气温,有,五年,,,
18,小流域,北京潮河,最高气温,有,五年,,,
19,小流域,北京潮河,平均气温,有,五年,,,
20,小流域,北京潮河,气压,无,-,,,
21,小流域,北京潮河,相对湿度,有,五年,,,
22,小流域,北京潮河,风速,有,五年,,,
23,小流域,北京潮河,太阳辐射（日照时数）,有,五年,,,
24,小流域,北京潮河,常住人口数,有,三年年数据，细化到镇,,,
25,小流域,北京潮河,污水处理率,有,两年城市生活污水处理率,,,
26,小流域,北京潮河,生活污水排放量,有,给了两年用水量没给排放量,,,
27,小流域,北京潮河,农村粪便处理方式,无,-,,,
28,小流域,北京潮河,农村粪便排放量,无,-,,,
29,小流域,北京潮河,播种面积,有,一年年数据，细化到镇，另一年只给了蔬菜种植,,,
30,小流域,北京潮河,园地面积,有,两年年数据，细化到镇,,,
31,小流域,北京潮河,各类肥料氮磷施用量,有,三年年数据，细化到镇,,,
32,小流域,北京潮河,作物产量,有,一年年数据，细化到镇,,,
33,小流域,北京潮河,作物播种时间,无,-,,,
34,小流域,北京潮河,作物施肥时间,无,-,,,
35,小流域,北京潮河,作物灌溉时间,无,-,,,
36,小流域,北京潮河,作物收割时间,无,-,,,
37,小流域,北京潮河,规模上下各类畜禽存栏、出栏量,有,三年年数据，细化到镇，未区分规模以上和以下,,,
38,小流域,北京潮河,水产养殖量,无,-,,,
39,小流域,北京潮河,点源排放位置,无,-,,,
40,小流域,北京潮河,点源排放量,无,-,,,
41,小流域,内蒙古五原,DEM,有,-,,,
42,小流域,内蒙古五原,土地利用,有,-,,,
43,小流域,内蒙古五原,土壤类型,有,-,,,
44,小流域,内蒙古五原,流域边界,有,-,,,
45,小流域,内蒙古五原,水系（河湖水库）矢量文件,有,-,,,
46,小流域,内蒙古五原,县镇行政区边界矢量文件,有,-,,,
47,小流域,内蒙古五原,流量,有,约半年小时数据，9-13个月月数据,,,
48,小流域,内蒙古五原,径流泥沙含量,无,-,,,
49,小流域,内蒙古五原,水库调度（如有）,无,-,,,
50,小流域,内蒙古五原,总氮,有,约半年小时数据，9-13个月月数据,,,
51,小流域,内蒙古五原,总磷,有,约半年小时数据，9-13个月月数据,,,
52,小流域,内蒙古五原,氨氮,有,约半年小时数据，9-13个月月数据,,,
53,小流域,内蒙古五原,COD,无,-,,,
54,小流域,内蒙古五原,降水量,有,两日,,,
55,小流域,内蒙古五原,小型蒸发,无,-,,,
56,小流域,内蒙古五原,大型蒸发,无,-,,,
57,小流域,内蒙古五原,最低气温,无,-,,,
